#       BSFG          |   BSFG with ED   |       CT
# 1 2 3  4   5    6    7   8     9    10   11  12   13   14   15
Z A El a   da   E1  dE1 atil datil  E2  dE2  T    dT   E0   dE0
64 158 Gd  17.91 13  0.28 8  17.45 13  0.29 8  0.61 1 -0.69 16 
64 159 Gd  17.71 27 -0.71 12  17.45 27  -0.70 11  0.61 2  -1.68 19 
64 161 Gd  17.29 32 -0.57 12  17.53 32  -0.57 12  0.59 2  -1.25 21 
65 160 Tb  18.20 24 -1.28 11  17.82 23  -1.26 11  0.61 2  -2.39 20 
66 157 Dy  19.46 63 -0.94 13  18.06 58  -0.90 13  0.58 2  -2.02 24 
66 159 Dy  17.62 91 -0.86 17  16.71 86  -0.83 17  0.62 4  -1.75 29 
66 161 Dy  18.06 37 -0.88 14  17.51 36  -0.86 14  0.61 3  -1.87 31 
66 162 Dy  18.08 21  0.30 9  17.81 20  0.31 9  0.60 1 -0.58 15 
66 163 Dy  17.31 27 -0.84 13  17.36 27  -0.84 13  0.62 2  -1.76 21 
66 164 Dy  17.75 23  0.38 10  18.06 24  0.37 10  0.60 1 -0.42 15 
66 165 Dy  16.90 29 -0.94 14  17.32 30  -0.96 14  0.62 2  -1.77 23 
67 166 Ho  18.29 27 -1.00 9  18.63 28  -1.01 9  0.59 1  -1.94 16 
68 163 Er  19.20 50 -0.80 12  18.27 47  -0.77 12  0.58 2  -1.78 21 
68 165 Er  18.34 40 -0.74 10  17.89 39  -0.73 9  0.60 2  -1.72 17 
68 167 Er  18.19 24 -0.65 10  18.38 24  -0.65 10  0.60 1  -1.50 17 
68 168 Er  17.79 15  0.26 7  18.17 16  0.25 7  0.60 1 -0.62 14 
68 169 Er  17.57 25 -0.67 11  18.13 26  -0.69 11  0.60 2  -1.43 24 
68 171 Er  17.67 41 -0.68 16  18.55 44  -0.70 16  0.59 2  -1.33 26 
69 170 Tm  18.38 25 -1.05 11  18.79 26  -1.07 11  0.61 2  -2.05 20 
69 171 Tm  19.39 49  0.05 13  19.83 54 -0.02 14  0.58 2  -0.89 21 
70 169 Yb  19.90 65 -0.50 10  19.57 64  -0.49 10  0.55 3  -1.33 23 
70 170 Yb  18.16 19  0.38 11  18.06 19  0.38 11  0.61 1 -0.61 17 
70 171 Yb  18.47 37 -0.45 9  18.63 38  -0.45 9  0.58 2  -1.21 17 
70 172 Yb  18.88 18  0.32 8  19.29 18  0.31 8  0.59 2 -0.50 16 
70 173 Yb  18.34 38 -0.25 18  19.07 40  -0.27 18  0.57 2  -0.89 30 
70 174 Yb  18.29 35  0.45 17  19.11 37  0.43 17  0.57 2 -0.17 26 
70 175 Yb  17.91 35 -0.41 13  18.88 37  -0.43 13  0.58 2  -1.06 21 
70 177 Yb  18.06 35 -0.52 13  19.18 38  -0.54 13  0.57 2  -1.16 21 
71 176 Lu  19.55 30 -0.71 8  20.20 32  -0.73 8  0.56 1  -1.57 13 
71 177 Lu  18.22 61 -0.42 15  18.74 64  -0.43 15  0.55 2  -0.94 21 
72 175 Hf  19.08 55 -0.53 10  19.06 55  -0.53 10  0.57 2  -1.28 19 
72 177 Hf  19.21 50 -0.50 12  19.55 52  -0.51 12  0.56 2  -1.23 21 
72 178 Hf  19.07 24  0.23 8  19.57 25  0.21 8  0.57 2 -0.58 24 
72 179 Hf  19.18 25 -0.35 9  19.81 26  -0.37 9  0.56 2  -1.13 18 
72 180 Hf  17.86 22 -0.03 10  18.67 23  -0.04 10  0.59 2  -0.80 22 
72 181 Hf  19.68 43 -0.21 11  20.72 46  -0.24 11  0.53 2  -0.85 18 
73 181 Ta  20.52 49 -0.29 15  21.31 51  -0.30 15  0.54 2  -0.87 26 
73 182 Ta  19.06 23 -0.96 9  19.96 25  -0.99 9  0.57 1  -1.87 16 
73 183 Ta  17.70 46 -0.76 17  18.44 49  -0.79 17  0.60 2  -1.51 26 
74 181 W  19.07 75 -0.55 15  19.64 77  -0.56 16  0.58 3  -1.38 26 
74 183 W  19.22 30 -0.24 10  20.24 33  -0.27 11  0.55 2  -0.92 17 
74 184 W  18.76 30  0.08 14  19.72 33  0.04 14  0.58 2 -0.64 21 
74 185 W  19.45 28 -0.50 8  20.54 30  -0.52 8  0.56 1  -1.30 14 
74 187 W  19.14 36 -0.81 13  20.44 40  -0.85 14  0.57 2  -1.63 22 
75 186 Re  19.87 28 -0.90 10  21.05 31  -0.93 10  0.56 1  -1.76 18 
75 188 Re  19.93 26 -1.00 10  21.45 29  -1.04 10  0.55 1  -1.88 17 
76 187 O  19.07 29  -0.78 11  20.08 32  -0.81 11  0.58 2  -1.57 19 
76 188 O  19.88 37  0.34 12  21.23 37  0.32 11  0.58 2  -0.63 19 
76 189 O  18.60 38  -1.04 15  19.97 42  -1.08 15  0.59 2  -1.87 25 
76 190 O  19.44 26  0.29 11  21.32 29  0.24 12  0.56 2  -0.33 20 
76 191 O  18.29 37  -1.07 13  20.39 43  -1.14 13  0.60 2  -1.91 21 
76 193 O  18.06 42  -1.00 19  21.24 54  -1.11 20  0.59 3  -1.69 30 
77 192 Ir  19.45 45 -1.55 13  21.77 53  -1.65 13  0.60 2  -2.74 22 
77 193 Ir  22.77 58 -0.30 9  26.11 67  -0.38 9  0.52 2  -1.21 15 
77 194 Ir  17.98 61 -1.66 15  21.23 75  -1.84 17  0.64 3  -2.78 25 
78 193 Pt  19.15 78 -1.02 17  21.55 90  -1.10 18  0.58 3  -1.87 27 
78 195 Pt  15.30 79 -1.57 24  18.25 99  -1.77 26  0.72 5  -2.43 36 
78 196 Pt  17.97 29  0.38 10  22.53 38  0.21 10  0.61 2 -0.33 18 
78 197 Pt  14.91 63 -1.61 25  18.99 89  -1.90 29  0.72 4  -2.38 39 
78 199 Pt  16.06 64 -1.25 23  22.16 101  -1.57 27  0.66 4  -1.90 35 
79 198 Au  16.00 22 -1.72 16  20.98 36  -2.12 18  0.71 3  -2.74 35 
80 199 Hg  15.82 69 -1.27 26  21.56 107  -1.66 31  0.69 4  -2.02 40 
80 200 Hg  14.29 26 -0.62 19  19.79 45  -1.22 23  0.77 4  -1.40 37 
80 201 Hg  13.39 54 -1.78 31  19.45 98  -2.46 40  0.80 5  -2.46 46 
80 202 Hg  13.79 56 -0.61 22  20.93 102  -1.38 29  0.77 4  -1.23 31 
81 204 Tl  12.90 41 -1.96 28  20.45 94  -3.21 40  0.84 4  -2.72 42 
81 206 Tl  10.41 54 -1.25 32  18.33 136  -3.13 53  0.98 7  -1.62 44 
82 205 Pb  12.71 56 -0.61 22  21.47 114  -1.60 31  0.81 4  -1.08 30 
